Date,State,TotalSamples,Negative,Positive
17-02-2020,Kerala,423,406,3
18-02-2020,Kerala,425,420,3
19-02-2020,Kerala,432,423,3
20-02-2020,Kerala,433,423,3
21-02-2020,Kerala,437,426,3
22-02-2020,Kerala,441,436,3
23-02-2020,Kerala,444,436,3
24-02-2020,Kerala,449,441,3
25-02-2020,Kerala,451,446,3
26-02-2020,Kerala,460,451,3
27-02-2020,Kerala,462,451,3
28-02-2020,Kerala,471,463,3
29-02-2020,Kerala,485,471,3
01-03-2020,Kerala,488,471,3
01-03-2020,Tamil Nadu,49,49,0
02-03-2020,Kerala,504,493,3
02-03-2020,Tamil Nadu,50,50,0
03-03-2020,Kerala,520,494,3
03-03-2020,Tamil Nadu,50,50,0
04-03-2020,Kerala,552,511,3
04-03-2020,Tamil Nadu,54,54,0
05-03-2020,Kerala,574,535,3
05-03-2020,Tamil Nadu,54,54,0
06-03-2020,Kerala,631,579,3
06-03-2020,Tamil Nadu,56,54,0
07-03-2020,Kerala,682,616,3
07-03-2020,Tamil Nadu,60,56,1
08-03-2020,Kerala,729,664,8
08-03-2020,Tamil Nadu,68,59,1
09-03-2020,Kerala,807,717,9
09-03-2020,Tamil Nadu,72,69,1
10-03-2020,Kerala,980,815,17
10-03-2020,Tamil Nadu,74,69,1
11-03-2020,Kerala,1179,889,17
11-03-2020,Tamil Nadu,75,73,1
12-03-2020,Kerala,1377,953,19
12-03-2020,Tamil Nadu,76,73,1
13-03-2020,Karnataka,639,540,6
13-03-2020,Kerala,1715,1132,22
13-03-2020,Tamil Nadu,77,76,1
14-03-2020,Karnataka,731,590,6
14-03-2020,Kerala,1897,1345,22
14-03-2020,Tamil Nadu,79,76,1
15-03-2020,Karnataka,862,609,6
15-03-2020,Kerala,2147,1514,24
15-03-2020,Tamil Nadu,88,85,1
16-03-2020,Karnataka,895,695,7
16-03-2020,Kerala,2297,1693,27
16-03-2020,Tamil Nadu,98,95,1
17-03-2020,Karnataka,943,766,11
17-03-2020,Kerala,2467,1807,27
17-03-2020,Tamil Nadu,140,138,1
18-03-2020,Karnataka,1068,869,14
18-03-2020,Kerala,2550,2140,27
18-03-2020,Tamil Nadu,222,166,2
19-03-2020,Karnataka,1143,915,15
19-03-2020,Kerala,2921,2342,28
19-03-2020,Tamil Nadu,320,232,3
20-03-2020,Karnataka,1207,970,15
20-03-2020,Kerala,3436,2393,40
20-03-2020,Tamil Nadu,333,303,3
21-03-2020,Karnataka,1377,996,20
21-03-2020,Kerala,3716,2566,52
21-03-2020,Tamil Nadu,412,339,6
22-03-2020,Karnataka,1387,1108,26
22-03-2020,Kerala,4035,2744,67
22-03-2020,Tamil Nadu,443,359,7
23-03-2020,Karnataka,1477,1153,33
23-03-2020,Kerala,4291,2987,95
23-03-2020,Tamil Nadu,552,503,9
24-03-2020,Karnataka,1637,1196,41
24-03-2020,Kerala,4516,3331,109
24-03-2020,Tamil Nadu,743,608,15
25-03-2020,Karnataka,2438,2242,51
25-03-2020,Kerala,4902,3465,118
25-03-2020,Tamil Nadu,890,757,23
26-03-2020,Karnataka,2731,2432,55
26-03-2020,Kerala,5342,3768,137
26-03-2020,Tamil Nadu,1039,933,26
27-03-2020,Karnataka,2838,2563,64
27-03-2020,Kerala,5679,4448,176
27-03-2020,Tamil Nadu,1243,1157,38
28-03-2020,Delhi,1787,1297,49
28-03-2020,Karnataka,3076,2763,76
28-03-2020,Kerala,6067,5276,182
28-03-2020,Tamil Nadu,1500,1393,42
29-03-2020,Delhi,2049,1608,72
29-03-2020,Karnataka,3170,2874,83
29-03-2020,Kerala,6690,5518,202
29-03-2020,Tamil Nadu,1763,1682,50
30-03-2020,Delhi,2168,1749,97
30-03-2020,Karnataka,3243,3025,88
30-03-2020,Kerala,6991,6034,234
30-03-2020,Tamil Nadu,2040,1853,67
31-03-2020,Delhi,2315,1929,120
31-03-2020,Karnataka,3535,3297,101
31-03-2020,Kerala,7485,6381,241
31-03-2020,Tamil Nadu,2354,,124
01-04-2020,Andhra Pradesh,1313,1226,87
01-04-2020,Delhi,2621,2299,152
01-04-2020,Karnataka,3799,3479,110
01-04-2020,Kerala,7965,7256,265
01-04-2020,Madhya Pradesh,1328,745,86
01-04-2020,Odisha,610,606,4
01-04-2020,Punjab,1260,1149,46
01-04-2020,Tamil Nadu,2726,,234
02-04-2020,Andhra Pradesh,1800,1175,132
02-04-2020,Chandigarh,124,98,18
02-04-2020,Delhi,3120,2452,293
02-04-2020,Karnataka,4181,3910,124
02-04-2020,Kerala,8456,7622,286
02-04-2020,Madhya Pradesh,1455,1086,107
02-04-2020,Odisha,900,895,5
02-04-2020,Punjab,1434,1236,47
02-04-2020,Tamil Nadu,3272,2559,309
03-04-2020,Delhi,3273,2578,399
03-04-2020,Jammu and Kashmir,1218,,75
03-04-2020,Karnataka,4587,4281,128
03-04-2020,Kerala,9139,8126,295
03-04-2020,Madhya Pradesh,2093,1455,154
03-04-2020,Odisha,1113,1107,6
03-04-2020,Punjab,1585,1381,53
03-04-2020,Tamil Nadu,3684,2789,411
04-04-2020,Delhi,3694,2954,445
04-04-2020,Jammu and Kashmir,1397,1250,92
04-04-2020,Karnataka,5061,4566,144
04-04-2020,Kerala,9744,8586,306
04-04-2020,Madhya Pradesh,2424,1757,179
04-04-2020,Maharashtra,14503,13717,635
04-04-2020,Odisha,1395,1375,20
04-04-2020,Punjab,1824,1520,65
04-04-2020,Tamil Nadu,4248,3356,485
05-04-2020,Delhi,6567,5398,502
05-04-2020,Gujarat,2568,2418,128
05-04-2020,Jammu and Kashmir,1551,1429,106
05-04-2020,Karnataka,5543,5037,151
05-04-2020,Kerala,10221,9300,314
05-04-2020,Madhya Pradesh,2812,1954,193
05-04-2020,Maharashtra,16008,14837,748
05-04-2020,Odisha,1699,1676,23
05-04-2020,Punjab,2208,1711,68
05-04-2020,Rajasthan,12279,11439,260
05-04-2020,Tamil Nadu,4612,3702,571
06-04-2020,Delhi,8464,6711,525
06-04-2020,Gujarat,2879,2701,146
06-04-2020,Jammu and Kashmir,1708,1583,109
06-04-2020,Karnataka,5958,5503,163
06-04-2020,Kerala,10716,9607,327
06-04-2020,Madhya Pradesh,3323,2530,256
06-04-2020,Maharashtra,17563,15808,868
06-04-2020,Odisha,1888,1849,39
06-04-2020,Punjab,2384,1994,79
06-04-2020,Tamil Nadu,5015,4099,621
07-04-2020,Delhi,9041,7308,576
07-04-2020,Gujarat,3552,3257,175
07-04-2020,Jammu and Kashmir,1900,1763,125
07-04-2020,Karnataka,6580,5942,175
07-04-2020,Kerala,11232,10250,336
07-04-2020,Madhya Pradesh,3770,3125,290
07-04-2020,Maharashtra,20877,19290,1018
07-04-2020,Odisha,2210,2168,42
07-04-2020,Punjab,2559,2204,99
07-04-2020,Tamil Nadu,5305,4414,690
08-04-2020,Chandigarh,184,162,18
08-04-2020,Delhi,9332,7897,588
08-04-2020,Gujarat,4224,3905,186
08-04-2020,Jammu and Kashmir,2269,2116,139
08-04-2020,Karnataka,6967,6473,181
08-04-2020,Kerala,11986,10906,345
08-04-2020,Madhya Pradesh,4056,3442,341
08-04-2020,Maharashtra,27090,25753,1135
08-04-2020,Odisha,2441,2399,42
08-04-2020,Punjab,2937,2614,106
08-04-2020,Rajasthan,17638,16401,363
08-04-2020,Tamil Nadu,6095,4893,738
09-04-2020,Andhra Pradesh,5960,5597,363
09-04-2020,Chandigarh,199,169,18
09-04-2020,Delhi,9968,8643,720
09-04-2020,Gujarat,6199,5579,262
09-04-2020,Jammu and Kashmir,2649,2465,184
09-04-2020,Karnataka,7613,7176,197
09-04-2020,Kerala,12710,11469,357
09-04-2020,Madhya Pradesh,5135,3989,411
09-04-2020,Odisha,2841,2797,44
09-04-2020,Punjab,3192,2777,130
09-04-2020,Rajasthan,19107,17851,430
09-04-2020,Tamil Nadu,7267,5948,834
10-04-2020,Andhra Pradesh,6374,5993,381
10-04-2020,Chandigarh,223,199,19
10-04-2020,Delhi,11061,9662,903
10-04-2020,Gujarat,7718,7237,378
10-04-2020,Jammu and Kashmir,2961,2754,207
10-04-2020,Karnataka,7975,7673,207
10-04-2020,Kerala,13339,12335,364
10-04-2020,Madhya Pradesh,7049,4840,451
10-04-2020,Maharashtra,30000,28865,1135
10-04-2020,Odisha,3249,3201,48
10-04-2020,Punjab,3461,2972,151
10-04-2020,Rajasthan,22324,20673,520
10-04-2020,Tamil Nadu,8410,6838,911
11-04-2020,Maharashtra,31841,30477,1364
